text_id	src_lang	tgt_lang	src_title	tgt_title	chapter	author	translator	genre	trans_publisher	trans_pubdate
003	en	zh	An Eye On The Future	放眼未来	NA	Josh Quittner	NA	magazine	NA	2000
003	en	zh	From your mouse to your house	从点击鼠标到商品到家	NA	Joe Zeff 	NA	magazine	NA	2000
003	en	zh	Land of the Fat	肥胖者的世界	NA	NA	NA	magazine	NA	2000
003	en	zh	Get Thin Quick-An Update	快速减肥──最新报道	NA	NA	NA	magazine	NA	2000
003	en	zh	BACK TO SCHOOL	重返校园	NA	NA	NA	magazine	NA	2000
003	en	zh	Pain Can Be Tamed	疼痛可以被制服	NA	Ian K. Smith, M.D	NA	magazine	NA	2000
003	en	zh	The Spread of HIV...And Will We Ever Cure AIDS?	HIV的传播......我们能治愈爱滋病吗？	NA	Dr. David Ho	NA	magazine	NA	2000
003	en	zh	Good News	好消息	NA	Janice M. Horowitz	NA	magazine	NA	2000
003	en	zh	Putting on the Dogme	电影摄制的新规则	NA	Richard Corliss	NA	magazine	NA	2000
003	en	zh	Heartsick	令人沮丧的电影	NA	Richard Schickel	NA	magazine	NA	2000
003	en	zh	Catching The Wind	乘风破浪	NA	NA	NA	magazine	NA	2000
003	en	zh	Divided We Stand	分手，我们才能成功	NA	Amy Dickinson	NA	magazine	NA	2000
003	en	zh	We Hope He has a Mighty Fiennes Time	我们祝愿他旅途愉快	NA	NA	NA	magazine	NA	2000
003	en	zh	Where did they find the time? 	他们在哪儿找到时间？	NA	NA	NA	magazine	NA	2000
003	en	zh	Virtually Exciting	实激动人心	NA	Michele Orecklin	NA	magazine	NA	2000
003	en	zh	Getting Ready for the Super-Jumbo Era	准备进入超大型客机时代	NA	DAFFYD RODERICK	NA	magazine	NA	2000
003	en	zh	WEB CR@WLING	网上旅游信息	NA	NA	NA	magazine	NA	2000
003	en	zh	DETOUR	特色观光	NA	Doveen Schechter	NA	magazine	NA	2000
003	en	zh	TECHWATCH	科技动态	NA	NA	NA	magazine	NA	2000
003	en	zh	Innovations	技术革新	NA	NA	NA	magazine	NA	2000
003	en	zh	What's next	下一步做什麽	NA	NA	NA	magazine	NA	2000
003	en	zh	Blair Witch Craft	布莱尔女巫的魔法	NA	Richard Corliss	NA	magazine	NA	2000
003	en	zh	The future of the phone	未来的电话	NA	NA	NA	magazine	NA	2000
003	en	zh	Get Rich.com	致富网	NA	NA	NA	magazine	NA	2000
003	en	zh	Just Browsing	看看而已	NA	Ana Marie Cox 	NA	magazine	NA	2000
003	en	zh	Tailor-made	量体购衣	NA	NA	NA	magazine	NA	2000
003	en	zh	Great News, No More Jobs for Life	重大消息，终生职位不再拥有	NA	TIME Staff 	NA	magazine	NA	2000
